id,vendor,title,handle,created,published,updated,type,price,sku,available,image
4518457638974,HELM,The Charlie Wheat,charlie-wheat,2020-05-07T10:10:45-05:00,2020-08-12T18:35:55-05:00,2022-08-16T13:31:51-05:00,Sneakers,225.00,HBB803015,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-charlie-wheat-28566030319678.jpg?v=1628094461
4518457638974,HELM,The Charlie Wheat,charlie-wheat,2020-05-07T10:10:45-05:00,2020-08-12T18:35:55-05:00,2022-08-16T13:31:51-05:00,Sneakers,225.00,HBB803015,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-charlie-wheat-28522383343678.jpg?v=1628094461
4518457638974,HELM,The Charlie Wheat,charlie-wheat,2020-05-07T10:10:45-05:00,2020-08-12T18:35:55-05:00,2022-08-16T13:31:51-05:00,Sneakers,225.00,HBB803015,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-charlie-wheat-28521312419902.jpg?v=1628094461
4518457638974,HELM,The Charlie Wheat,charlie-wheat,2020-05-07T10:10:45-05:00,2020-08-12T18:35:55-05:00,2022-08-16T13:31:51-05:00,Sneakers,225.00,HBB803015,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-charlie-wheat-28552813019198.jpg?v=1628094461
4518457638974,HELM,The Charlie Wheat,charlie-wheat,2020-05-07T10:10:45-05:00,2020-08-12T18:35:55-05:00,2022-08-16T13:31:51-05:00,Sneakers,225.00,HBB803015,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-charlie-wheat-28552809676862.jpg?v=1628094461
4684437389374,HELM Boots,Custom Offer,custom-offer,2020-08-03T12:52:40-05:00,2020-08-03T12:52:40-05:00,2022-06-13T10:59:17-05:00,candyrack_generated,9.99,,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-candyrack-generated-custom-offer-15953535434814.png?v=1596477278
4459797643326,HELM,The Zind Olive,zind-olive,2020-03-12T14:03:41-05:00,2020-07-23T20:23:13-05:00,2022-08-19T14:37:36-05:00,Boots,249.00,HBB403016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-olive-15802342801470.jpg?v=1628082226
4459797643326,HELM,The Zind Olive,zind-olive,2020-03-12T14:03:41-05:00,2020-07-23T20:23:13-05:00,2022-08-19T14:37:36-05:00,Boots,249.00,HBB403016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-olive-28554713923646.jpg?v=1628082226
4459797643326,HELM,The Zind Olive,zind-olive,2020-03-12T14:03:41-05:00,2020-07-23T20:23:13-05:00,2022-08-19T14:37:36-05:00,Boots,249.00,HBB403016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-olive-15522557689918.jpg?v=1628082226
4459797643326,HELM,The Zind Olive,zind-olive,2020-03-12T14:03:41-05:00,2020-07-23T20:23:13-05:00,2022-08-19T14:37:36-05:00,Boots,249.00,HBB403016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-olive-15522554609726.jpg?v=1628082226
